"VarName","TimeString","VarValue","Validity","Time_ms"
"Out_LMN_PER_PID","10/25/2018 20:17:18",0,1,43398845344.7454
"Out_LMN_PID","10/25/2018 20:17:18",4.295302E-23,1,43398845344.7454
"Out_Proportional","10/25/2018 20:17:18",0,1,43398845344.7454
"Pump","10/25/2018 20:17:18",0,1,43398845344.7454
"Solenoid","10/25/2018 20:17:18",0,1,43398845344.7454
"PV_Out_PID","10/25/2018 20:17:18",38.57784,1,43398845344.7454
"SP_Out_PID","10/25/2018 20:17:18",-7.230892E-07,1,43398845344.7454
"In_Analog","10/25/2018 20:17:19",0,1,43398845356.331
"In_Analog_MOVE","10/25/2018 20:17:19",0,1,43398845356.331
"In_Analog_VOLTAGE","10/25/2018 20:17:19",3.032856,1,43398845356.331
"In_PV_Percentual","10/25/2018 20:17:19",38.57784,1,43398845356.331
"Out_LMN_PER_PID","10/25/2018 20:17:19",0,1,43398845356.331
"Out_LMN_PID","10/25/2018 20:17:19",4.295302E-23,1,43398845356.331
"Out_Proportional","10/25/2018 20:17:19",0,1,43398845356.331
"Pump","10/25/2018 20:17:19",0,1,43398845356.331
"Solenoid","10/25/2018 20:17:19",0,1,43398845356.331
"PV_Out_PID","10/25/2018 20:17:19",38.57784,1,43398845356.331
"SP_Out_PID","10/25/2018 20:17:19",-7.230892E-07,1,43398845356.331
"In_Analog","10/25/2018 20:17:20",0,1,43398845367.9051
"In_Analog_MOVE","10/25/2018 20:17:20",0,1,43398845367.9051
"In_Analog_VOLTAGE","10/25/2018 20:17:20",3.032856,1,43398845367.9051
"In_PV_Percentual","10/25/2018 20:17:20",38.57784,1,43398845367.9051
"Out_LMN_PER_PID","10/25/2018 20:17:20",0,1,43398845367.9051
"Out_LMN_PID","10/25/2018 20:17:20",4.295302E-23,1,43398845367.9051
"Out_Proportional","10/25/2018 20:17:20",0,1,43398845367.9051
"Pump","10/25/2018 20:17:20",0,1,43398845367.9051
"Solenoid","10/25/2018 20:17:20",0,1,43398845367.9051
"PV_Out_PID","10/25/2018 20:17:20",38.57784,1,43398845367.9051
"SP_Out_PID","10/25/2018 20:17:20",-7.230892E-07,1,43398845367.9051
"In_Analog","10/25/2018 20:17:21",0,1,43398845379.4792
"In_Analog_MOVE","10/25/2018 20:17:21",0,1,43398845379.4792
